City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,copiapo,-27.3667,-70.3333,13.83,83,9,0.2,CL,1694846339
184,vylkove,45.4021,29.586,22.06,69,20,7.43,UA,1694846529
185,ust-nera,64.5667,143.2,6.69,56,100,0.54,RU,1694846529
186,tura,25.5198,90.2201,31.28,66,59,1.72,IN,1694846529
187,thal,35.4791,72.2439,24.56,50,12,3.49,PK,1694846529
188,kone,-21.0595,164.8658,20.25,86,100,2.83,NC,1694846530
189,fortuna,40.5982,-124.1573,14.99,96,100,0.0,US,1694846530
190,enoch,37.7733,-113.0244,17.49,54,0,1.54,US,1694846530
191,gorontalo,0.5412,123.0595,27.76,76,100,2.09,ID,1694846276
192,kodiak,57.79,-152.4072,9.73,93,100,2.57,US,1694846531
193,mugia,43.1041,-9.2179,17.87,82,100,8.21,ES,1694846531
194,nigel,-26.4314,28.4771,19.66,11,7,4.7,ZA,1694846532
195,schweich,49.8222,6.7526,19.97,82,0,2.06,DE,1694846532
196,ancud,-41.8697,-73.8203,7.71,81,100,9.35,CL,1694846532
197,labrador city,52.9463,-66.9114,2.95,93,0,3.09,CA,1694846532
198,sumbe,-11.2061,13.8437,22.16,83,16,2.42,AO,1694846533
199,arar,30.9753,41.0381,29.01,16,0,6.17,SA,1694846533
200,ketchikan,55.3422,-131.6461,11.26,87,100,1.54,US,1694846533
201,benguela,-12.5763,13.4055,21.37,88,74,2.53,AO,1694846533
202,ocean city,39.2776,-74.5746,16.66,75,0,2.24,US,1694846534
203,vega de alatorre,20.0333,-96.6333,26.77,82,38,3.01,MX,1694846534
204,badger,64.8,-147.5333,9.28,81,40,3.09,US,1694846534
205,buka,40.8108,69.1986,27.71,19,15,2.3,UZ,1694846535
206,lorengau,-2.0226,147.2712,27.34,73,97,8.02,PG,1694846535
207,deols,46.8293,1.7043,19.05,72,100,0.51,FR,1694846535
208,lerwick,60.1545,-1.1494,10.0,83,59,5.82,GB,1694846536
209,uturoa,-16.7333,-151.4333,25.74,78,99,8.35,PF,1694846536
210,walvis bay,-22.9575,14.5053,11.16,100,100,2.06,NA,1694846536
211,hermiston,45.8404,-119.2895,20.09,55,0,2.57,US,1694846435
212,kavieng,-2.5744,150.7967,27.47,74,85,6.84,PG,1694846537
213,rundu,-17.9333,19.7667,26.22,16,0,2.48,NA,1694846537
214,port lincoln,-34.7333,135.8667,20.64,46,0,2.53,AU,1694846537
215,el calafate,-50.3408,-72.2768,-1.74,67,4,3.34,AR,1694846538
216,northam,51.0333,-4.2167,14.78,95,100,3.35,GB,1694846538
217,wailua homesteads,22.0669,-159.378,26.24,85,100,7.72,US,1694846538
218,fada,9.5667,8.3,20.73,95,100,1.92,NG,1694846539
219,nyurba,63.2842,118.3319,6.86,47,100,4.44,RU,1694846539
220,el quebrachal,-25.2833,-64.0667,20.63,34,0,5.33,AR,1694846539
221,kupang,-10.1667,123.5833,31.32,55,20,5.14,ID,1694846539
222,nambour,-26.6333,152.95,20.61,75,0,0.45,AU,1694846539
223,rasshevatskaya,45.5748,41.035,20.82,51,99,0.96,RU,1694846540
224,aldinga beach,-35.2793,138.4604,24.55,61,0,1.34,AU,1694846540
225,boonville,38.9736,-92.7432,19.69,82,0,0.0,US,1694846540
226,nizhniy odes,63.6445,54.856,15.46,67,69,2.67,RU,1694846540
227,kailua-kona,19.6406,-155.9956,25.84,91,41,0.89,US,1694846307
228,kasserine,35.1676,8.8365,25.88,39,96,1.3,TN,1694846541
229,murray bridge,-35.1167,139.2667,24.51,34,0,4.99,AU,1694846541
230,baiti,13.745,-14.7482,23.63,97,100,1.68,SN,1694846541
231,tabou,4.423,-7.3528,24.62,89,100,3.11,CI,1694846541
232,qiancheng,27.185,109.7654,31.75,49,80,0.46,CN,1694846542
233,sinop,41.7711,34.8709,13.24,40,98,2.28,TR,1694846542
234,stanley,54.868,-1.6985,11.55,94,100,6.17,GB,1694846542
235,richards bay,-28.783,32.0377,21.12,69,100,5.69,ZA,1694846542
236,puerto leguizamo,-0.1934,-74.7819,21.29,97,100,0.71,CO,1694846543
237,nicoya,10.1483,-85.452,24.1,90,100,0.59,CR,1694846543
238,hassi messaoud,31.6804,6.0729,24.92,19,0,2.06,DZ,1694846343
239,nova sintra,14.8667,-24.7167,22.74,80,95,6.71,CV,1694846543
240,xinyuan,37.3,99.0,16.6,20,100,6.6,CN,1694846359
241,st. john's,47.5649,-52.7093,20.15,98,100,2.57,CA,1694846400
242,vallo della lucania,40.2297,15.2658,24.97,43,85,0.26,IT,1694846544
243,berezovyy,51.6667,135.7,19.85,33,0,2.63,RU,1694846544
244,kapuskasing,49.4169,-82.4331,15.05,88,100,3.09,CA,1694846544
245,kargasok,59.0556,80.8572,19.38,55,61,1.02,RU,1694846285
246,kathu,7.9178,98.3332,30.39,75,83,3.57,TH,1694846544
247,khandyga,62.6667,135.6,2.23,96,100,4.12,RU,1694846545
248,hilo,19.7297,-155.09,26.27,90,100,2.57,US,1694846280
249,namie,37.4833,141.0,29.19,80,97,0.82,JP,1694846545
250,vila velha,-20.3297,-40.2925,20.53,81,100,1.03,BR,1694846545
251,jutai,-5.1833,-68.9,23.0,93,97,1.25,BR,1694846546
252,quellon,-43.1167,-73.6167,6.57,88,100,6.48,CL,1694846546
253,yutan,28.25,112.55,32.42,50,30,0.13,CN,1694846546
254,dongola,19.1667,30.4833,33.32,16,0,6.14,SD,1694846546
255,meadow lake,34.8014,-106.5436,16.71,49,41,3.16,US,1694846547
256,eirunepe,-6.6603,-69.8736,22.17,98,90,0.87,BR,1694846547
257,flying fish cove,-10.4217,105.6791,25.82,78,100,6.69,CX,1694846547
258,lompoc,34.6391,-120.4579,18.34,89,100,3.6,US,1694846547
259,adelanto,34.5828,-117.4092,24.09,50,0,2.43,US,1694846317
260,manicore,-5.8092,-61.3003,22.81,46,27,1.21,BR,1694846548
261,shuya,56.8487,41.3883,12.51,91,100,2.6,RU,1694846548
262,yuzhno-kurilsk,44.0306,145.8556,19.11,88,100,0.84,RU,1694846548
263,hamilton,39.1834,-84.5333,14.44,83,0,0.89,US,1694846264
264,gualeguay,-33.1416,-59.3097,15.96,53,1,6.61,AR,1694846280
265,severo-yeniseyskiy,60.3725,93.0408,16.97,51,6,1.52,RU,1694846549
266,auki,-8.7676,160.7034,25.48,87,100,3.94,SB,1694846549
267,nishinoomote,30.7333,131.0,30.31,84,75,3.6,JP,1694846549
268,brookings,44.3114,-96.7984,13.38,85,0,0.0,US,1694846431
269,lure,47.75,6.5,19.47,94,0,1.54,FR,1694846550
270,hami,42.8,93.45,22.71,26,88,2.38,CN,1694846359
271,bayanaul,50.7889,75.6956,17.31,51,72,4.14,KZ,1694846480
272,las heras,-46.5419,-68.9359,2.22,82,54,3.03,AR,1694846496
273,weno,7.4515,151.8468,31.97,74,40,2.06,FM,1694846550
274,egilsstadir,65.2653,-14.3948,0.95,93,0,2.57,IS,1694846551
275,joshimath,30.5667,79.5667,26.53,66,35,3.3,IN,1694846551
276,polyarnyy,69.1989,33.4478,7.58,73,50,5.43,RU,1694846551
277,sittwe,20.15,92.9,29.12,74,14,3.65,MM,1694846551
278,utrik,11.2278,169.8474,28.82,79,100,8.12,MH,1694846551
279,qamdo,31.1667,97.2333,16.09,37,13,2.31,CN,1694846552
280,dalyellup,-33.3986,115.6168,16.45,81,95,4.11,AU,1694846552
281,port alberni,49.2413,-124.8028,16.91,82,11,0.45,CA,1694846552
282,penzance,50.1186,-5.5371,15.62,94,40,7.72,GB,1694846552
283,mossel bay,-34.1831,22.146,11.96,57,45,13.19,ZA,1694846552
284,kalmunai,7.4167,81.8167,32.19,57,87,4.32,LK,1694846370
285,veraval,20.9,70.3667,28.87,73,100,5.21,IN,1694846553
286,minas de marcona,-15.2119,-75.1103,12.78,81,17,2.91,PE,1694846553
287,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,87,75,4.0,RU,1694846553
288,brisas barra de suchiate,14.55,-92.2167,26.4,83,98,0.74,MX,1694846553
289,puerto baquerizo moreno,-0.9,-89.6,22.57,77,64,4.09,EC,1694846554
290,medianeira,-25.2953,-54.0939,11.73,61,9,1.98,BR,1694846554
291,voronovytsya,49.1095,28.6808,17.1,63,6,3.41,UA,1694846554
292,anka,12.1138,5.9243,25.68,80,100,3.25,NG,1694846554
293,bornu yassu,12.2774,12.5552,27.72,58,85,3.33,NG,1694846555
294,bubaque,11.2833,-15.8333,27.01,85,100,4.33,GW,1694846555
295,tome acu,-2.4189,-48.1522,23.05,92,2,1.75,BR,1694846555
296,kaya,13.0917,-1.0844,25.77,72,79,3.1,BF,1694846555
297,sao vicente,-23.9631,-46.3919,19.04,26,4,1.41,BR,1694846555
298,laguna,38.421,-121.4238,23.03,76,0,3.6,US,1694846556
299,cockburn town,21.4612,-71.1419,28.7,68,100,1.72,TC,1694846556
300,pionerskiy,54.9508,20.2275,15.42,67,41,5.51,RU,1694846556
301,karasburg,-28.0167,18.75,8.63,68,100,5.04,NA,1694846557
302,katsuren-haebaru,26.3369,127.8719,29.01,97,100,3.6,JP,1694846557
303,ujae,8.9322,165.7642,29.51,74,13,7.38,MH,1694846557
